id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
320790,DE-0368,small_airport,Mohorn Airfield,50.997963,13.446165,1173,EU,DE,DE-SN,Wilsdruff,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Sonderlandeplatz Mohorn
320828,DE-0369,small_airport,Wertheim Airfield,49.72579,9.506707,1000,EU,DE,DE-BW,Wertheim,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,http://www.Flugplatz-Wertheim.de,UNKNOWN,Flugplatz Wertheim
320854,DE-0370,small_airport,Schwarzenbach-Sötern Ultralight Airfield,49.591944,7.031389,1509,EU,DE,DE-SL,Nonnweiler,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
320859,DE-0371,small_airport,Offenbüttel Ultralight Airfield,54.175833,9.378056,6,EU,DE,DE-SH,Offenbüttel,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Thode
320860,DE-0372,small_airport,Altenbeuthen UL,50.592206,11.588424,1715,EU,DE,DE-TH,Altenbeuthen,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,http://www.flugzentrum.com,UNKNOWN,UNKNOWN
320896,DE-0376,small_airport,Mittelfischach Ultralight Airfield,49.034134,9.871645,1263,EU,DE,DE-BW,Obersontheim,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
320897,DE-0377,small_airport,Waltrop Ultralight Airfield,51.640381,7.426479,161,EU,DE,DE-NW,Waltrop,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Sonderlandeplatz Waltrop
320906,DE-0378,small_airport,Schlierstadt-Seligenberg Airfield,49.443554,9.361944,1148,EU,DE,DE-BW,Osterburken,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,http://southsidebase.de,UNKNOWN,South Side Base
320912,DE-0379,small_airport,Litzlohe UL,49.351883,11.488491,1876,EU,DE,DE-BY,Pilsach auf der Heid,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Litzlohe UL-Flugplatz Litzlohe
320913,DE-0380,small_airport,Eimbeckhausen Airfield,52.225832,9.425161,538,EU,DE,DE-NI,Bad Münder,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
320930,DE-0381,small_airport,Straßham Ultralight Airfield,48.179722,11.927222,1690,EU,DE,DE-BY,Forstern,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,http://www.rundfluege-muenchen.de/,UNKNOWN,UNKNOWN
320931,DE-0382,small_airport,Unterschwaningen Ultralight Airfield,49.086013,10.634766,1500,EU,DE,DE-BY,Unterschwaningen,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
320937,DE-0383,small_airport,Bredstedt Airfield,54.633425,8.985745,92,EU,DE,DE-SH,Bredstedt,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Breezer Flugplatz Bredstedt
320993,DE-0385,small_airport,Fresh Breeze UL,52.518069,9.732115,187,EU,DE,DE-NI,Bissendorf,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
320994,DE-0386,small_airport,Everswinkel Ultralight Airfield,51.884444,7.838056,194,EU,DE,DE-NW,Everswinkel,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
320995,DE-0387,small_airport,Geilsheim UL,49.024268,10.660071,1565,EU,DE,DE-BY,Wassertrüdingen,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
321028,DE-0388,small_airport,Plötzin Airfield,52.355651,12.824854,164,EU,DE,DE-BR,Plötzin,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,http://user.cs.tu-berlin.de/~mvr/ploetzin/,UNKNOWN,Flugplatz Plötzin
321055,DE-0389,small_airport,Metelen Ultralight Airfield,52.15949,7.241294,160,EU,DE,DE-NW,Metelen,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,http://www.ul-metelen.de,UNKNOWN,Flugplatz Metelen UL Metelen
321056,DE-0390,small_airport,Dorstadt Ultralight Airfield,52.099876,10.550802,351,EU,DE,DE-NI,Dorstadt,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,http://www.rittergut-dorstadt.de/flugplatz/,UNKNOWN,UNKNOWN
321125,DE-0391,small_airport,Malsch-Ettlingen Ultralight Flightpark,48.901667,8.328333,387,EU,DE,DE-BW,Malsch,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
321127,DE-0392,small_airport,Weidberg-Kaltenwestheim Ultralight Airfield,50.608674,10.087069,2034,EU,DE,DE-TH,Kaltennordheim,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
321128,DE-0393,small_airport,Dörzbach-Hohebach Ultralight Flightpark,49.350308,9.715267,1320,EU,DE,DE-BW,Dörzbach,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,http://www.ul-verein.de,UNKNOWN,UNKNOWN
321129,DE-0394,small_airport,Morbach Ultralight Airfield,49.033929,9.589713,1624,EU,DE,DE-BW,Großerlach,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
321189,DE-0395,small_airport,Sonderlandeplatz Kremmen-Hohenbruch UL,52.797548,13.102406,120,EU,DE,DE-BR,Kremmen,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,http://www.flugplatz-kremmen.de/,UNKNOWN,UNKNOWN
